CACode,VaCode,Estimate,ASE,Flag
C03A,V05C,28.8,3.3,
C03A,V05D,8.9,1.9,
C03A,V06A,0.9,0.6,**
C03A,V06B,4.5,1.7,*
C03A,V06C,12.9,2.3,
C03A,V06D,43,3.6,
C03A,V06E,38.6,4.1,
C03A,V06M,7.8,0.2,
C03A,V07A,52.3,3.9,
C03A,V07B,16.3,2.5,
C03A,V07C,17.8,3.1,
C03A,V07D,11,2.1,
C03A,V07E,2.6,1.1,*
C03A,V07M,2.9,0.2,
C03A,V08A,20.1,3.4,
C03A,V09A,41.9,3.7,
C03A,V09B,30.8,3.5,
C03A,V09C,22.3,3.6,
C03A,V09D,5,1.5,*
C03A,V10A,9.7,2.2,
C03A,V10B,28.6,3.2,
C03A,V10C,49.5,3.8,
C03A,V10D,12.1,2.8,
C03A,V10M,6.7,0.1,
C03A,V11A,6.7,2,
C03A,V11B,14,2.7,
C03A,V11C,44.7,3.9,
C03A,V11D,34.6,3.5,
C03A,V11M,7.6,0.1,
C03A,V12A,10.8,2.2,
C03A,V12B,30.6,3.5,
C03A,V12C,43.5,4,
C03A,V12D,15.1,2.7,
C03A,V12M,6.6,0.2,
C03A,V13A,7.1,2,
C03A,V13B,12.7,2.2,
C03A,V13C,39.3,3.8,
C03A,V13D,40.9,3.6,
C03A,V13M,7.7,0.2,
C03A,V14A,40.7,4.3,
C03A,V14B,35,3.4,
C03A,V14C,21.1,3.5,
C03A,V14D,3.2,1.7,**
C03A,V14M,4.8,0.2,
C03A,V15A,64.2,3.5,
C03A,V15B,29.2,3.3,
C03A,V15C,6.6,2.1,*
C03A,V16A,71.3,3.2,
C03A,V16B,19.9,2.6,
C03A,V16C,8.8,2.5,
C03A,V17A,2.1,1,*
C03A,V17B,12.5,2.6,
C03A,V17C,30.3,4.1,
C03A,V17D,34.7,4.5,
C03A,V17E,20.4,3.2,
C03A,V18A,94.3,1.7,
C03A,V18B,5.7,1.7,
C03B,V00T,19.4,,B
C03B,V01A,16.7,2.2,
C03B,V01B,19.5,2,
C03B,V01C,33.8,2.6,
C03B,V01D,15.3,2,
C03B,V01E,14.7,1.6,
C03B,V01M,7.8,0.1,
C03B,V02A,12.6,1.9,
C03B,V02B,17.9,2,
C03B,V02C,31.6,2.3,
C03B,V02D,17,1.9,
C03B,V02E,20.8,2.3,
C03B,V02M,8,0.1,
C03B,V03A,18.6,2.4,
C03B,V03B,22.5,1.9,
C03B,V03C,30.3,2.5,
C03B,V03D,13.5,1.7,
C03B,V03E,15,1.8,
C03B,V03M,7.7,0.1,
C03B,V04A,7.4,1.5,
C03B,V04B,28.2,2.6,
C03B,V04C,44.5,2.7,
C03B,V04D,20,2.2,
C03B,V05A,20.3,2.1,
C03B,V05B,40.7,2.6,
C03B,V05C,28,2,
C03B,V05D,11,1.7,
C03B,V06A,2.5,1,*
C03B,V06B,3.9,0.9,
C03B,V06C,14.5,1.9,
C03B,V06D,39.4,2.4,
C03B,V06E,39.7,2.3,
C03B,V06M,7.7,0.1,
C03B,V07A,55,2.4,
